callPerDay;d1;d2;d3;d4;d5;d6;d7
554;733;627;679;689;568;657;512
573;643;672;608;791;674;667;512
580;556;586;543;643;550;606;512
701;699;587;605;817;755;537;512
778;717;696;764;718;663;849;768
809;990;786;752;803;758;612;768
557;912;751;725;678;678;748;768
820;912;874;803;851;802;780;768
825;1023;792;763;743;706;713;768
606;678;651;706;632;661;733;768
864;767;669;776;820;734;775;768
876;1141;976;885;1049;1008;1000;768
635;757;684;616;773;602;667;768
640;675;710;645;708;686;734;768
663;606;618;737;680;721;683;768
672;735;598;622;688;644;639;768
931;871;798;867;836;835;768;768
939;857;1113;1741;1725;1010;871;768
698;754;761;714;838;744;786;768
974;931;871;798;867;836;835;768
665;662;649;580;635;659;599;513
776;717;714;829;827;825;840;769
791;723;889;751;910;799;639;769
549;802;679;645;680;695;667;769
805;821;746;784;847;1006;828;769
844;860;834;792;901;865;869;769
614;648;606;652;695;585;603;769
882;742;881;723;921;793;814;769
697;778;738;766;724;705;722;769
701;601;611;647;614;799;776;769
707;646;753;755;634;602;663;769
717;723;777;746;747;869;671;769
742;881;723;921;793;814;769;769
745;700;711;738;722;619;691;769
761;714;838;744;786;768;782;769
643;836;682;766;750;771;844;1025
553;582;674;726;616;580;551;514
558;650;582;491;601;531;618;514
559;488;648;661;598;561;565;514
610;740;723;641;595;698;622;514
713;606;586;744;779;649;513;514
769;763;741;852;839;672;789;770
771;657;701;599;681;695;709;770
778;841;836;788;805;817;670;770
799;622;695;734;661;692;721;770
802;842;832;793;822;781;831;770
823;738;717;676;740;651;895;770
568;651;574;610;568;618;580;770
580;622;754;595;609;554;704;770
841;826;803;737;753;795;882;770
587;648;662;653;608;653;675;770
663;769;789;729;701;642;813;770
964;825;845;830;735;802;825;770
713;704;832;817;764;805;779;770
741;803;807;864;754;804;753;770
750;785;848;792;732;653;615;770
767;799;814;729;791;827;813;770
795;786;798;776;991;811;835;1026
655;821;640;643;705;740;631;515
670;567;591;642;669;574;649;515
680;658;578;606;641;698;621;515
692;563;620;782;545;657;606;515
733;710;717;640;611;647;585;515
846;767;928;708;861;869;679;771
870;783;807;832;885;690;773;771
876;917;1062;882;964;957;842;771
637;625;640;728;795;727;697;771
649;603;726;673;681;659;730;771
658;808;774;755;800;723;794;771
669;715;776;757;1034;793;691;771
691;693;643;836;682;766;750;771
950;870;885;785;668;804;878;771
706;713;916;828;736;838;719;771
738;840;796;786;850;857;1060;771
746;771;790;817;732;711;747;771
766;922;782;784;828;789;843;771
660;635;540;622;614;521;637;516
830;787;726;773;771;767;783;772
608;560;735;649;714;728;730;772
659;665;742;749;590;571;815;772
669;668;558;581;661;624;693;772
725;747;690;671;796;661;601;772
672;682;594;667;603;691;915;1028
745;727;814;769;768;817;947;1028
479;558;543;557;616;643;606;517
773;791;624;1362;773;786;667;773
841;753;759;719;673;652;798;773
599;598;656;684;722;905;701;773
862;870;783;807;832;885;690;773
628;846;880;853;830;787;726;773
890;831;853;809;861;839;913;773
639;612;618;563;477;619;640;773
659;709;705;635;757;684;616;773
692;740;708;967;725;851;755;773
694;574;595;672;651;624;697;773
764;871;802;939;842;813;817;773
844;655;627;607;519;640;576;518
777;715;713;803;812;766;756;774
872;756;745;892;735;658;808;774
627;720;625;649;667;632;758;774
886;837;791;728;753;773;750;774
698;685;708;690;656;840;884;774
706;723;762;799;818;783;730;774
712;782;719;578;717;638;713;774
723;769;753;715;699;709;804;774
